epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5401,2.80549,11.1602,2.56939,0.00049,0.02778,0.0003,8e-05,2.84519,6.95961,3.10086,1.666e-05,1.666e-05,1.666e-05
2,102.991,2.87657,8.06855,2.57296,0.00011,0.02976,0.00013,4e-05,2.78476,10.0665,3.02374,4.12377e-05,4.12377e-05,4.12377e-05
3,150.541,2.88814,6.12643,2.59497,0.57703,0.00952,0.00258,0.00077,2.75992,35.2659,2.90789,6.53205e-05,6.53205e-05,6.53205e-05
4,223.126,2.57691,5.48031,2.40987,0.57703,0.00952,0.00258,0.00077,2.63766,51.3141,2.73984,8.89086e-05,8.89086e-05,8.89086e-05
5,336.346,2.51698,5.01571,2.26002,0.01917,0.00992,0.01328,0.00501,2.51887,27.5516,2.65648,0.000112002,0.000112002,0.000112002
6,447.657,2.43448,4.61652,2.23117,0.7296,0.00595,0.00415,0.00157,2.34803,18.4456,2.53808,0.0001346,0.0001346,0.0001346
7,572.098,2.36054,4.5622,2.19116,0.8729,0.00595,0.00378,0.00089,2.32358,11.9313,2.4736,0.000156704,0.000156704,0.000156704
8,695.863,2.13428,3.9291,2.0582,0.72979,0.00595,0.00499,0.00075,2.39471,9.51131,2.48882,0.000178313,0.000178313,0.000178313
9,819.702,2.25916,4.01634,2.09717,0.36486,0.03452,0.03467,0.02151,2.2959,7.26426,2.31974,0.000199427,0.000199427,0.000199427
10,941.63,2.24971,3.81377,2.08448,0.07187,0.05992,0.03993,0.0258,2.20161,7.33012,2.23936,0.000220046,0.000220046,0.000220046
11,1062.74,2.10457,3.48947,1.98785,0.25183,0.04762,0.0474,0.02528,2.19988,8.42315,2.17463,0.000240171,0.000240171,0.000240171
12,1184.98,1.93369,3.27075,1.89974,0.23842,0.10476,0.06337,0.03212,2.17473,8.13023,2.13464,0.0002598,0.0002598,0.0002598
13,1306.73,2.06809,3.3245,1.95041,0.16081,0.09572,0.0775,0.04418,2.08695,11,2.0278,0.000278935,0.000278935,0.000278935
